@relation bearing_data1

@attribute sensor_0 numeric
@attribute sensor_1 numeric
@attribute sensor_2 numeric
@attribute sensor_3 numeric
@attribute sensor_4 numeric
@attribute sensor_5 numeric
@attribute sensor_6 numeric
@attribute sensor_7 numeric

@data
-0.095423,-0.095155,-0.094609,-0.094195,-0.093083,-0.09252,-0.092835,-0.093024
-0.095287,-0.094668,-0.095908,-0.095451,-0.093227,-0.092606,-0.09491,-0.092413
-0.095375,-0.094681,-0.095247,-0.095022,-0.092682,-0.093616,-0.091551,-0.092613
-0.096523,-0.095547,-0.094282,-0.094843,-0.093265,-0.093383,-0.093547,-0.095089
-0.095828,-0.094458,-0.095858,-0.095196,-0.092819,-0.093003,-0.093347,-0.093718
-0.095489,-0.094558,-0.094769,-0.094726,-0.093034,-0.092951,-0.093512,-0.094323
-0.095425,-0.095456,-0.094969,-0.094905,-0.092305,-0.092651,-0.092761,-0.093102
-0.094576,-0.095203,-0.094989,-0.095155,-0.093364,-0.093173,-0.100377,-0.093838
-0.095385,-0.094927,-0.094965,-0.094785,-0.092537,-0.092465,-0.09448,-0.099121
-0.095227,-0.095243,-0.096304,-0.09519,-0.092923,-0.092785,-0.08863,-0.09321
-0.095184,-0.095617,-0.095301,-0.095157,-0.092195,-0.092145,-0.065859,-0.090795
-0.094364,-0.094289,-0.095086,-0.094636,-0.092272,-0.092772,-0.092509,-0.091754
-0.095139,-0.095402,-0.095234,-0.09504,-0.092066,-0.092406,-0.091795,-0.092097
-0.094701,-0.095359,-0.095287,-0.095366,-0.092517,-0.092661,-0.086255,-0.093521
-0.095976,-0.095554,-0.095909,-0.095481,-0.092886,-0.093402,-0.093366,-0.093348
-0.09515,-0.095222,-0.094963,-0.095233,-0.092125,-0.092652,-0.041498,-0.090644
-0.095094,-0.094453,-0.093764,-0.093766,-0.091579,-0.091519,-0.089809,-0.091299
-0.095729,-0.095582,-0.096115,-0.0953,-0.093465,-0.093555,-0.091791,-0.093563
-0.096741,-0.095336,-0.095378,-0.095025,-0.093529,-0.093002,-0.092543,-0.093209
-0.095877,-0.095331,-0.09599,-0.094985,-0.092939,-0.09292,-0.100087,-0.092966
-0.095185,-0.095602,-0.095436,-0.09455,-0.092766,-0.093838,-0.092864,-0.092466
-0.095067,-0.095375,-0.094409,-0.095056,-0.093108,-0.093507,-0.08844,-0.092648
-0.095706,-0.094932,-0.095569,-0.09492,-0.093101,-0.092654,-0.092814,-0.095117
-0.095668,-0.095297,-0.095303,-0.095482,-0.092692,-0.092201,-0.093129,-0.092826
-0.095459,-0.094701,-0.095016,-0.094685,-0.093285,-0.092598,-0.093062,-0.0931
-0.094555,-0.095497,-0.095717,-0.095075,-0.092995,-0.09323,-0.092802,-0.09243
-0.095534,-0.095277,-0.094838,-0.094957,-0.09252,-0.092964,-0.092495,-0.092263
-0.094364,-0.09424,-0.093506,-0.093822,-0.091319,-0.091234,-0.09074,-0.09126
-0.095318,-0.095631,-0.094966,-0.095288,-0.092823,-0.09214,-0.093212,-0.093007
-0.097152,-0.095873,-0.096383,-0.095985,-0.091892,-0.091084,-0.091921,-0.091786
-0.095129,-0.095759,-0.095365,-0.095215,-0.093221,-0.093319,-0.093033,-0.093202
-0.095121,-0.095807,-0.095488,-0.095465,-0.093669,-0.092962,-0.093186,-0.093464
-0.094606,-0.095428,-0.094673,-0.094861,-0.092782,-0.09346,-0.093325,-0.092621
-0.095086,-0.095164,-0.09525,-0.095125,-0.09291,-0.092886,-0.092922,-0.092293
-0.095068,-0.094708,-0.095024,-0.094357,-0.092739,-0.09212,-0.093298,-0.092387
-0.095875,-0.095221,-0.095537,-0.094905,-0.09218,-0.092682,-0.092806,-0.093124
-0.095614,-0.0953,-0.09519,-0.094916,-0.092886,-0.092558,-0.092745,-0.092276
-0.094979,-0.095005,-0.095347,-0.095607,-0.092643,-0.092067,-0.093506,-0.093063
-0.095025,-0.094714,-0.095103,-0.094469,-0.093492,-0.092213,-0.092567,-0.092477
-0.095481,-0.094781,-0.095087,-0.094833,-0.092552,-0.091323,-0.093188,-0.092643
-0.09508,-0.095456,-0.094687,-0.095114,-0.093529,-0.093368,-0.092584,-0.093484
-0.0956,-0.094872,-0.09506,-0.095043,-0.092542,-0.0929,-0.092281,-0.092119
-0.09537,-0.094889,-0.095293,-0.095189,-0.092515,-0.091777,-0.093006,-0.09214
-0.095155,-0.094191,-0.095698,-0.094834,-0.092185,-0.09197,-0.092647,-0.092391
-0.094809,-0.094677,-0.093979,-0.094242,-0.09299,-0.093391,-0.092845,-0.092504
-0.09516,-0.094509,-0.09508,-0.095004,-0.093276,-0.093877,-0.092873,-0.092522
-0.095138,-0.094849,-0.095104,-0.094918,-0.092489,-0.093752,-0.093603,-0.09299
-0.094695,-0.095433,-0.094613,-0.095049,-0.092584,-0.092911,-0.092682,-0.092636
-0.095325,-0.094505,-0.095424,-0.095171,-0.092557,-0.092124,-0.093027,-0.092537
-0.095287,-0.094787,-0.094948,-0.095141,-0.093138,-0.093512,-0.092682,-0.092485
-0.095007,-0.094527,-0.094505,-0.094414,-0.093362,-0.093154,-0.092638,-0.093137
-0.094927,-0.094943,-0.095193,-0.09508,-0.092339,-0.093377,-0.092546,-0.092754
-0.095313,-0.0943,-0.095133,-0.094629,-0.09301,-0.092578,-0.092833,-0.092374
-0.094991,-0.094784,-0.095409,-0.095375,-0.093002,-0.093192,-0.092625,-0.092756
-0.095395,-0.094759,-0.094723,-0.095273,-0.092933,-0.093586,-0.092446,-0.092878
-0.094705,-0.094733,-0.094903,-0.094908,-0.092683,-0.092229,-0.092442,-0.092574
-0.09507,-0.094773,-0.094692,-0.094848,-0.092653,-0.092933,-0.092857,-0.092486
-0.095372,-0.095762,-0.095039,-0.094903,-0.092376,-0.092703,-0.09305,-0.09353
-0.095443,-0.09411,-0.095347,-0.095323,-0.092228,-0.093183,-0.092604,-0.091974
-0.095317,-0.094358,-0.095079,-0.095222,-0.092773,-0.092431,-0.093171,-0.091872
-0.095351,-0.094439,-0.094525,-0.094405,-0.093302,-0.092995,-0.092369,-0.092744
-0.095939,-0.095163,-0.094743,-0.09565,-0.093155,-0.093671,-0.092845,-0.092578
-0.094806,-0.094621,-0.095574,-0.094972,-0.092569,-0.091774,-0.090377,-0.092288
-0.095464,-0.094888,-0.095346,-0.094402,-0.092603,-0.093466,-0.094237,-0.093137
-0.09521,-0.094702,-0.095172,-0.095446,-0.092949,-0.091931,-0.099633,-0.09266
-0.09521,-0.094633,-0.095461,-0.095401,-0.092926,-0.092475,-0.092073,-0.092414
-0.094843,-0.094377,-0.094815,-0.094848,-0.092197,-0.092471,-0.093069,-0.092258
-0.095092,-0.095369,-0.094941,-0.094993,-0.092998,-0.092784,-0.092685,-0.092589
-0.09548,-0.094612,-0.095483,-0.094914,-0.093043,-0.093256,-0.093473,-0.092318
-0.095635,-0.095855,-0.094737,-0.094678,-0.092502,-0.092314,-0.092559,-0.113777
-0.095066,-0.094889,-0.095194,-0.094928,-0.093366,-0.093412,-0.093252,-0.092194
-0.095218,-0.094745,-0.094925,-0.094964,-0.092508,-0.09323,-0.093085,-0.092145
-0.095118,-0.094902,-0.0948,-0.094688,-0.092748,-0.092906,-0.092299,-0.092733
-0.094565,-0.094449,-0.095572,-0.094149,-0.09254,-0.092218,-0.093157,-0.094298
-0.094651,-0.09528,-0.094641,-0.094655,-0.092836,-0.092623,-0.093029,-0.091784
-0.094882,-0.09565,-0.09423,-0.094783,-0.093003,-0.092735,-0.093096,-0.093999
-0.095063,-0.094711,-0.094894,-0.094959,-0.092453,-0.093218,-0.092735,-0.093128
-0.094935,-0.095224,-0.094966,-0.094011,-0.092444,-0.092974,-0.09239,-0.092526
-0.095118,-0.093747,-0.094646,-0.094818,-0.093153,-0.093306,-0.092157,-0.093044
-0.095431,-0.094852,-0.094853,-0.094346,-0.092914,-0.091914,-0.092152,-0.092062
-0.095538,-0.094195,-0.095064,-0.094791,-0.092818,-0.092177,-0.093193,-0.092375
-0.094629,-0.09468,-0.094661,-0.094169,-0.092198,-0.091872,-0.107024,-0.092628
-0.094864,-0.095264,-0.095387,-0.094936,-0.092774,-0.093193,-0.091809,-0.072121
-0.095198,-0.095094,-0.094925,-0.095476,-0.093133,-0.092444,-0.09339,-0.092966
-0.095663,-0.094416,-0.095391,-0.093927,-0.093016,-0.092018,-0.092641,-0.09231
-0.094724,-0.094619,-0.095017,-0.095855,-0.091823,-0.092871,-0.091912,-0.09256
-0.095114,-0.095272,-0.094857,-0.095797,-0.092586,-0.092585,-0.092641,-0.092103
-0.095546,-0.094719,-0.095706,-0.095003,-0.093693,-0.093917,-0.092431,-0.092485
-0.095349,-0.094626,-0.094166,-0.094424,-0.092511,-0.092749,-0.092776,-0.092893
-0.094952,-0.094612,-0.094591,-0.094909,-0.092932,-0.092767,-0.092625,-0.091974
-0.095242,-0.094055,-0.095033,-0.094919,-0.092753,-0.093479,-0.092881,-0.092597
-0.094955,-0.094446,-0.095173,-0.094257,-0.092404,-0.092529,-0.09255,-0.092268
-0.0949,-0.09494,-0.095138,-0.094874,-0.093296,-0.093406,-0.093076,-0.092855
-0.094999,-0.094746,-0.09464,-0.095109,-0.092651,-0.09339,-0.093343,-0.092737
-0.094951,-0.094041,-0.095425,-0.09484,-0.091958,-0.091893,-0.093774,-0.092732
-0.095789,-0.095553,-0.094692,-0.094867,-0.092672,-0.093175,-0.092734,-0.092273
-0.094913,-0.095197,-0.093929,-0.09439,-0.092493,-0.09262,-0.092337,-0.090518
-0.094881,-0.094169,-0.094765,-0.094682,-0.092555,-0.092765,-0.092657,-0.098874
-0.095258,-0.094176,-0.095492,-0.095126,-0.092925,-0.092623,-0.092824,-0.091726
-0.095495,-0.095835,-0.095166,-0.095228,-0.092775,-0.092244,-0.092609,-0.09151
-0.095209,-0.095299,-0.094738,-0.094073,-0.092331,-0.0934,-0.093033,-0.092326
-0.095873,-0.095183,-0.095287,-0.095569,-0.092906,-0.09275,-0.093547,-0.092523
-0.094331,-0.094572,-0.094115,-0.094676,-0.092681,-0.09357,-0.093125,-0.092302
-0.094271,-0.094442,-0.095169,-0.094234,-0.09287,-0.092625,-0.092483,-0.092326
-0.095694,-0.094561,-0.095232,-0.094699,-0.09287,-0.092798,-0.092875,-0.092617
-0.095497,-0.094916,-0.095145,-0.095674,-0.092993,-0.092509,-0.092025,-0.092826
-0.094817,-0.093771,-0.094562,-0.094347,-0.092634,-0.093376,-0.09259,-0.092693
-0.095061,-0.094631,-0.094738,-0.094601,-0.092082,-0.093133,-0.092862,-0.092462
-0.094954,-0.094313,-0.094911,-0.094562,-0.0927,-0.092718,-0.092601,-0.092113
-0.094609,-0.094324,-0.094498,-0.09408,-0.09222,-0.092123,-0.092809,-0.092867
-0.095644,-0.094508,-0.094997,-0.094925,-0.092588,-0.092348,-0.092695,-0.092752
-0.095429,-0.09508,-0.094892,-0.094712,-0.092908,-0.092601,-0.092734,-0.092429
-0.094982,-0.093845,-0.094818,-0.094188,-0.092616,-0.09363,-0.092803,-0.092804
-0.094587,-0.094408,-0.094151,-0.094581,-0.092797,-0.093026,-0.092675,-0.092097
-0.09454,-0.094928,-0.094674,-0.094739,-0.093037,-0.092986,-0.092959,-0.091412
-0.094262,-0.094798,-0.094751,-0.094799,-0.092962,-0.091612,-0.09254,-0.092744
-0.09567,-0.096048,-0.094864,-0.095243,-0.09309,-0.09275,-0.093414,-0.092615
-0.09544,-0.093927,-0.094795,-0.094283,-0.092585,-0.09245,-0.093023,-0.092655
-0.095318,-0.094303,-0.095155,-0.094877,-0.092877,-0.092526,-0.092622,-0.09231
-0.094671,-0.094199,-0.094844,-0.094271,-0.092545,-0.092545,-0.093108,-0.092675
-0.095696,-0.094492,-0.094719,-0.095144,-0.093024,-0.092173,-0.093296,-0.092992
-0.095338,-0.094543,-0.094948,-0.094479,-0.092927,-0.093736,-0.092803,-0.09185
-0.095285,-0.095408,-0.095424,-0.094722,-0.093194,-0.092956,-0.092878,-0.092445
-0.095952,-0.094816,-0.094514,-0.094743,-0.092352,-0.093247,-0.093163,-0.092816
-0.095569,-0.094902,-0.095328,-0.094805,-0.093116,-0.093153,-0.092892,-0.093317
-0.095337,-0.094771,-0.094134,-0.094356,-0.092661,-0.093076,-0.092818,-0.092802
-0.095094,-0.095029,-0.095137,-0.094994,-0.093108,-0.092669,-0.093352,-0.092787
-0.09378,-0.0941,-0.095113,-0.094431,-0.092982,-0.093268,-0.092788,-0.092329
-0.094809,-0.094957,-0.094822,-0.095037,-0.092956,-0.093745,-0.09352,-0.091865
-0.095424,-0.094859,-0.094911,-0.094339,-0.092884,-0.093161,-0.092913,-0.174836
-0.116,-0.115944,-0.116314,-0.116214,-0.113144,-0.113126,-0.113309,-0.112972
-0.11677,-0.116699,-0.116544,-0.116736,-0.113647,-0.113776,-0.113425,-0.113493
-0.11682,-0.11745,-0.116818,-0.11706,-0.114572,-0.114443,-0.114368,-0.114229
-0.116614,-0.115709,-0.115765,-0.116381,-0.11319,-0.11238,-0.113178,-0.112652
-0.116991,-0.116274,-0.115891,-0.116391,-0.112928,-0.113122,-0.11383,-0.113442
-0.118466,-0.118286,-0.117188,-0.117374,-0.114253,-0.115636,-0.114826,-0.1144
-0.118108,-0.117422,-0.115922,-0.116341,-0.113857,-0.113618,-0.11332,-0.219488
-0.115636,-0.115874,-0.115852,-0.117103,-0.113059,-0.112983,-0.113422,-0.112601
-0.116159,-0.116431,-0.116729,-0.117102,-0.114424,-0.114719,-0.114316,-0.113983
-0.116695,-0.115931,-0.11649,-0.115536,-0.113472,-0.112217,-0.113362,-0.1134
-0.117343,-0.115494,-0.116025,-0.115951,-0.113565,-0.112811,-0.11349,-0.113277
-0.116817,-0.116973,-0.117892,-0.116999,-0.114684,-0.115105,-0.114444,-0.114299
-0.116518,-0.116845,-0.11625,-0.115765,-0.112614,-0.112115,-0.113236,-0.113044
-0.116057,-0.116284,-0.116565,-0.11513,-0.113124,-0.112588,-0.109817,-0.113036
-0.118055,-0.118618,-0.117753,-0.11748,-0.11444,-0.11453,-0.114007,-0.114087
-0.115434,-0.115898,-0.115593,-0.116214,-0.112605,-0.113879,-0.113155,-0.113137
-0.116449,-0.115916,-0.115979,-0.11502,-0.112587,-0.112522,-0.113164,-0.112983
-0.117579,-0.117576,-0.117534,-0.117308,-0.114398,-0.114283,-0.114315,-0.114004
-0.116077,-0.117092,-0.116007,-0.116679,-0.113473,-0.113228,-0.112689,-0.113194
-0.115849,-0.115784,-0.116604,-0.115737,-0.113461,-0.114287,-0.113665,-0.113909
-0.11782,-0.117095,-0.117117,-0.116943,-0.114554,-0.113963,-0.114287,-0.114319
-0.115848,-0.116462,-0.116415,-0.116701,-0.113406,-0.113156,-0.113835,-0.112819
-0.116897,-0.116288,-0.11606,-0.116128,-0.112951,-0.114342,-0.113291,-0.112939
-0.117555,-0.117769,-0.118012,-0.117207,-0.11387,-0.113865,-0.114465,-0.11406
-0.117164,-0.116133,-0.115702,-0.1158,-0.113357,-0.113402,-0.113586,-0.113388
-0.117175,-0.116616,-0.116938,-0.116545,-0.113198,-0.11382,-0.113082,-0.11328
-0.11775,-0.117981,-0.116682,-0.11717,-0.114263,-0.114701,-0.114394,-0.114176
-0.116113,-0.116267,-0.117044,-0.116533,-0.112825,-0.11374,-0.113052,-0.112675
-0.116456,-0.11654,-0.115648,-0.116894,-0.112142,-0.112261,-0.113242,-0.1127
-0.118699,-0.117506,-0.117986,-0.117987,-0.11393,-0.113444,-0.114681,-0.114078
-0.115513,-0.117157,-0.115802,-0.116497,-0.113474,-0.112956,-0.113289,-0.11329
-0.116139,-0.115859,-0.11668,-0.116087,-0.114152,-0.113467,-0.113473,-0.112746
-0.11884,-0.118143,-0.117687,-0.117434,-0.114442,-0.114255,-0.114545,-0.114137
-0.117092,-0.116501,-0.116211,-0.116744,-0.112828,-0.11349,-0.113941,-0.113519
-0.117061,-0.115793,-0.116755,-0.11582,-0.112821,-0.113594,-0.112881,-0.112866
-0.117752,-0.117548,-0.117975,-0.117705,-0.114713,-0.114843,-0.114412,-0.114177
-0.116247,-0.116346,-0.116221,-0.115304,-0.113015,-0.113262,-0.113179,-0.113175
-0.116147,-0.116435,-0.117563,-0.11661,-0.113236,-0.113386,-0.113833,-0.113504
-0.118181,-0.118129,-0.11715,-0.117387,-0.114249,-0.114156,-0.113859,-0.114034
-0.116743,-0.116742,-0.115455,-0.115527,-0.112858,-0.113604,-0.113502,-0.113395
-0.11679,-0.116661,-0.11594,-0.116268,-0.113712,-0.112706,-0.113602,-0.113192
-0.117528,-0.117488,-0.117625,-0.117645,-0.11439,-0.113231,-0.114235,-0.113515
-0.11665,-0.11597,-0.116462,-0.115532,-0.114072,-0.11306,-0.113388,-0.113063
-0.117895,-0.116596,-0.115991,-0.115284,-0.113287,-0.112793,-0.112985,-0.113014
-0.119044,-0.117322,-0.11842,-0.117512,-0.114355,-0.11448,-0.114132,-0.113604
-0.115024,-0.114878,-0.114996,-0.114644,-0.113301,-0.112438,-0.113278,-0.112583
-0.115784,-0.116559,-0.116233,-0.115347,-0.113429,-0.113299,-0.11343,-0.113114
-0.117371,-0.116758,-0.116084,-0.116928,-0.113492,-0.114119,-0.114151,-0.114656
-0.115687,-0.116124,-0.116287,-0.115395,-0.113287,-0.113143,-0.113172,-0.112831
-0.114735,-0.115774,-0.11702,-0.11551,-0.113089,-0.112778,-0.113349,-0.113119
-0.117167,-0.117588,-0.117317,-0.117513,-0.11442,-0.114227,-0.114233,-0.113814
-0.116604,-0.116058,-0.115702,-0.11571,-0.112551,-0.113303,-0.113296,-0.113104
-0.116691,-0.116257,-0.116677,-0.115689,-0.114031,-0.113664,-0.113313,-0.113158
-0.116513,-0.116519,-0.117047,-0.116972,-0.114228,-0.114219,-0.114092,-0.113532
-0.115762,-0.11524,-0.116713,-0.115731,-0.113057,-0.113913,-0.113232,-0.11303
-0.116783,-0.117085,-0.11662,-0.115679,-0.113112,-0.112478,-0.113267,-0.113479
-0.116669,-0.116808,-0.117536,-0.117227,-0.113359,-0.113633,-0.113878,-0.113929
-0.11693,-0.115906,-0.115501,-0.115516,-0.112847,-0.111922,-0.112527,-0.112575
-0.116639,-0.115453,-0.116915,-0.11688,-0.113062,-0.114491,-0.113262,-0.113418
-0.118268,-0.118122,-0.116958,-0.116341,-0.114263,-0.114482,-0.114563,-0.114288
-0.115868,-0.117574,-0.115987,-0.116062,-0.112792,-0.114026,-0.113233,-0.112958
-0.115881,-0.115733,-0.116014,-0.115621,-0.113878,-0.112732,-0.112941,-0.112651
-0.117141,-0.117456,-0.116149,-0.116769,-0.114369,-0.113423,-0.113937,-0.113896
-0.115928,-0.115502,-0.115964,-0.115929,-0.113265,-0.113273,-0.11281,-0.112848
-0.117385,-0.116101,-0.115861,-0.11578,-0.11329,-0.1133,-0.113439,-0.112928
-0.116942,-0.11706,-0.117012,-0.117157,-0.114388,-0.113182,-0.114107,-0.114125
-0.115512,-0.116271,-0.115891,-0.115978,-0.113196,-0.113225,-0.112863,-0.112929
-0.11642,-0.116256,-0.115245,-0.115885,-0.113462,-0.112925,-0.113519,-0.112258
-0.117507,-0.117011,-0.116218,-0.116636,-0.114118,-0.114722,-0.114539,-0.113977
-0.11591,-0.11635,-0.116556,-0.115911,-0.112978,-0.113369,-0.112988,-0.113331
-0.116091,-0.115572,-0.116356,-0.115088,-0.113127,-0.11352,-0.112909,-0.112846
-0.116969,-0.116878,-0.117051,-0.116944,-0.113254,-0.114087,-0.114922,-0.114658
-0.116485,-0.11614,-0.116668,-0.115733,-0.113618,-0.112669,-0.113457,-0.113461
-0.116038,-0.116035,-0.11708,-0.115547,-0.113073,-0.111819,-0.112914,-0.112378
-0.116863,-0.116747,-0.115927,-0.11685,-0.115027,-0.114878,-0.114509,-0.114071
-0.115391,-0.115417,-0.115518,-0.115481,-0.112759,-0.113395,-0.112987,-0.112774
-0.116687,-0.117085,-0.115817,-0.116117,-0.113232,-0.112685,-0.113021,-0.112962
-0.117251,-0.11729,-0.116595,-0.116538,-0.114864,-0.114147,-0.114307,-0.114241
-0.115376,-0.115666,-0.116097,-0.11563,-0.113843,-0.112981,-0.113079,-0.113351
-0.116403,-0.115331,-0.116423,-0.115382,-0.112502,-0.11205,-0.1129,-0.112984
-0.116221,-0.116789,-0.115798,-0.116397,-0.113381,-0.112628,-0.113356,-0.114057
-0.117252,-0.11672,-0.116705,-0.117049,-0.115232,-0.115479,-0.114442,-0.114345
-0.115733,-0.115135,-0.115982,-0.115472,-0.113721,-0.113068,-0.112875,-0.112268
-0.115806,-0.115281,-0.115854,-0.116329,-0.112662,-0.112114,-0.113325,-0.112281
-0.117308,-0.117149,-0.115993,-0.11694,-0.113719,-0.113912,-0.114044,-0.114416
-0.116112,-0.117069,-0.116238,-0.116574,-0.113537,-0.113371,-0.113473,-0.11377
-0.116329,-0.115945,-0.116529,-0.116367,-0.113731,-0.112586,-0.11366,-0.113156
-0.116968,-0.116316,-0.116787,-0.116514,-0.114836,-0.11541,-0.114444,-0.114268
-0.11471,-0.113129,-0.113709,-0.11394,-0.113536,-0.11338,-0.113574,-0.11305
-0.117485,-0.11773,-0.118998,-0.117521,-0.11426,-0.112794,-0.113529,-0.11392
-0.116835,-0.117221,-0.116856,-0.11717,-0.114384,-0.114134,-0.114119,-0.11356
-0.115197,-0.115068,-0.116841,-0.115354,-0.113108,-0.11339,-0.113572,-0.112805
-0.116491,-0.116761,-0.116163,-0.115803,-0.113378,-0.112823,-0.113651,-0.113548
-0.117432,-0.116597,-0.116467,-0.116916,-0.114683,-0.114976,-0.114271,-0.113332
-0.116079,-0.116151,-0.11678,-0.115419,-0.113729,-0.113508,-0.113481,-0.113313
-0.11604,-0.116189,-0.116426,-0.115765,-0.113373,-0.113053,-0.113565,-0.113534
-0.117511,-0.117104,-0.117804,-0.116857,-0.113539,-0.113882,-0.114413,-0.114492
-0.115743,-0.115784,-0.116373,-0.116026,-0.113091,-0.113988,-0.113423,-0.113351
-0.116365,-0.116163,-0.11657,-0.116375,-0.113255,-0.113157,-0.113109,-0.113195
-0.1177,-0.117345,-0.116635,-0.116692,-0.113832,-0.115178,-0.114636,-0.114525
-0.115852,-0.115159,-0.116761,-0.116002,-0.11352,-0.113037,-0.113586,-0.112975
-0.116516,-0.115605,-0.115363,-0.115659,-0.11293,-0.11332,-0.113348,-0.113207
-0.116723,-0.116503,-0.117701,-0.117218,-0.113841,-0.11405,-0.114036,-0.114573
-0.116137,-0.115794,-0.116138,-0.116001,-0.11315,-0.112639,-0.113426,-0.121727
-0.117279,-0.115972,-0.115602,-0.115916,-0.113862,-0.113669,-0.113195,-0.113089
-0.117705,-0.117786,-0.117113,-0.117342,-0.114877,-0.115445,-0.114249,-0.11182
-0.115942,-0.115538,-0.116592,-0.115502,-0.113639,-0.113345,-0.113684,-0.113446
-0.115931,-0.115937,-0.115841,-0.115946,-0.113467,-0.113622,-0.113256,-0.113579
-0.11718,-0.117391,-0.116995,-0.11762,-0.11461,-0.114485,-0.114341,-0.114025
-0.116232,-0.116064,-0.116406,-0.116833,-0.11353,-0.113059,-0.112946,-0.112263
-0.116867,-0.116478,-0.116654,-0.115519,-0.113626,-0.112614,-0.11347,-0.114079
-0.117192,-0.116667,-0.117081,-0.116713,-0.114604,-0.114256,-0.113698,-0.11373
-0.116479,-0.116018,-0.115635,-0.115698,-0.113441,-0.112906,-0.113522,-0.113636
-0.115667,-0.115235,-0.116276,-0.116686,-0.112986,-0.113671,-0.113221,-0.12574
-0.117613,-0.116749,-0.117263,-0.116462,-0.114448,-0.114365,-0.114483,-0.114786
-0.115823,-0.115614,-0.115536,-0.11595,-0.113503,-0.114185,-0.11324,-0.113177
-0.115646,-0.115304,-0.114981,-0.11542,-0.113595,-0.113153,-0.112743,-0.112841
-0.117897,-0.116872,-0.116712,-0.117052,-0.114175,-0.115384,-0.114282,-0.114426
-0.116657,-0.116554,-0.116541,-0.115952,-0.113371,-0.113685,-0.113599,-0.113307
-0.114639,-0.115321,-0.115091,-0.115891,-0.1137,-0.114645,-0.11333,-0.11241
-0.118117,-0.11786,-0.118326,-0.118344,-0.114914,-0.113687,-0.114237,-0.113924
-0.115992,-0.116893,-0.116117,-0.116313,-0.113847,-0.112864,-0.113755,-0.113463
-0.116408,-0.116377,-0.116197,-0.116286,-0.113288,-0.112876,-0.113501,-0.112917
-0.117754,-0.116883,-0.117793,-0.116929,-0.114325,-0.114784,-0.114304,-0.113481
-0.11594,-0.115797,-0.11515,-0.115142,-0.113418,-0.112283,-0.113907,-0.112962
-0.117018,-0.117149,-0.118257,-0.116444,-0.113894,-0.113913,-0.113377,-0.113109
-0.116824,-0.116842,-0.117721,-0.117745,-0.114573,-0.11397,-0.114977,-0.114182
-0.117094,-0.11622,-0.117359,-0.116034,-0.113539,-0.112185,-0.113479,-0.112036
-0.116623,-0.115703,-0.115228,-0.115036,-0.113439,-0.112714,-0.113597,-0.113823
-0.117799,-0.117725,-0.117777,-0.117576,-0.114799,-0.115859,-0.11465,-0.111626
